PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-08,19:05:40.39,1,1,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,72.08042,0.852174,-1.437101,2096.661732,57.276043,8:00,6.00635,2.71643,5.25527,-61.97436,-5.94819,-12.37749,1.64284,0.33437,65.61775,-10.39165,-3.636459,0.538725,,,,,,,,,,,,5.72189,-2.70394,-2.57507,50,6.03866,3.0781,-104.46154,-0.43484,6.20067,20.75984,-35.10427,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,6f26d560-4b32-11f1-a2a5-03e2572c6450,69.96603,,,6.46267,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:05:40.39,2026-05-08T19:05:40.3921408-04:00,2026-05-08T23:05:40.3921408Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,99498bc8-673b-4393-a9a2-9c6e9100af60,55.24549,-105.49884,10.37992,6.01657,1.31919,-17.55213,-2.72113,2.76827,3.10033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-08,19:05:52.53,1,2,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.38642,-1.538416,-4.33347,2022.720089,226.147188,1:30,6.14785,2.31119,5.57062,-23.9506,14.77072,13.85623,2.71045,-0.58979,77.66039,-6.037777,-1.870481,0.447864,,,,,,,,,,,,-8.35804,8.37607,-1.94617,50,5.99957,8.84837,-124.81707,-4.13134,-12.96781,28.99026,-19.17831,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,765c8960-4b32-11f1-a2a5-03e2572c6450,84.1604,,,8.72604,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:05:52.53,2026-05-08T19:05:52.5395456-04:00,2026-05-08T23:05:52.5395456Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,dcb2f8f7-6fa4-44c4-94da-c26bcb60990c,54.92526,-125.95583,14.49513,6.14706,-3.37801,-9.58915,-2.30374,9.35776,-6.4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-08,19:06:05.31,1,3,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.70698,0.89819,-1.709738,2101.912707,62.21754,8:00,5.98531,2.49061,5.15555,-61.49621,-6.2417,-15.56017,1.70659,-0.41601,66.23797,-10.231215,-4.467758,0.535002,,,,,,,,,,,,7.26339,-2.97291,-2.3181,50,6.02169,3.72004,-105.36251,-0.34773,8.00901,21.08951,-35.45213,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,7dfbd4a0-4b32-11f1-a2a5-03e2572c6450,70.45291,,,6.46901,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:06:05.31,2026-05-08T19:06:05.3129216-04:00,2026-05-08T23:06:05.3129216Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,bc0b2d3b-68f5-4e90-8ba1-71df2e214fe7,55.34654,-106.4273,10.54476,5.99406,1.44222,-17.72607,-2.49571,3.31568,4.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-08,19:06:20.65,1,4,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.38599,-1.12398,-1.751933,2120.517344,74.421316,8:30,5.97678,2.58178,5.3374,-55.76901,-2.94941,-17.68379,0.27424,-0.536,67.56235,-11.232008,-4.900607,0.523081,,,,,,,,,,,,8.30945,-0.57378,-2.41032,50,5.8354,3.95552,-107.71617,-3.91645,9.50502,23.31381,-32.83037,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,871f00c0-4b32-11f1-a2a5-03e2572c6450,72.05853,,,6.82364,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:06:20.65,2026-05-08T19:06:20.6568448-04:00,2026-05-08T23:06:20.6568448Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,afcb8764-a988-4321-aebc-f1b0305e4a2d,55.16276,-108.82784,11.6569,5.98483,-2.35099,-16.41518,-2.58813,3.50229,4.75251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-08,19:06:37.19,1,5,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.83723,-1.200665,-5.252582,1960.41229,229.234424,1:45,6.21016,2.36206,5.38869,-25.52056,13.86446,14.42414,2.95317,-1.37292,77.48192,-5.955042,-2.703192,0.451686,,,,,,,,,,,,-8.82028,7.74142,-1.90181,50,6.0849,10.75145,-123.91028,-3.46382,-13.5605,27.33177,-20.27222,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,90f80f60-4b32-11f1-a2a5-03e2572c6450,83.44827,,,8.35531,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:06:37.19,2026-05-08T19:06:37.1908096-04:00,2026-05-08T23:06:37.1908096Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,569b9784-07c6-4552-a2f7-cf3f7b15972a,55.10813,-125.03194,13.66589,6.20998,-2.63187,-10.13611,-2.35445,11.30796,-6.78025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-08,19:06:49.98,1,6,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.10846,1.870243,-0.494281,2157.116197,67.011892,8:15,5.95878,2.54577,5.0596,-63.1309,-6.61733,-20.44812,2.46225,0.37563,65.35368,-9.571843,-4.11298,0.541063,90.23245,-7.000149,-49.138235,,,,,20.4048,19.68526,-43.620158,0.141313,10.06914,-3.45177,-2.48136,50,6.0862,1.66498,-104.46034,1.34432,10.88513,21.14677,-35.90555,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,98a0a970-4b32-11f1-a2a5-03e2572c6450,69.66368,2.70364,,6.75478,,,,2.97903,2.70364,-0.28662,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:06:49.98,2026-05-08T19:06:49.9873792-04:00,2026-05-08T23:06:49.9873792Z,GroundBall,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,4639e44c-6e8c-4965-a5e6-68458911ff03,55.44265,-105.55639,10.57338,5.9683,3.20532,-17.95278,-2.55304,1.1008,5.44257,42.249458,2.97942,85.90055,-17.37873,,,,,,,2.70407,-16.16964,-21.00851,,,,,,,-0.28678,-99.3265,12.33585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-05-08,19:07:16.87,1,7,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.17251,-1.581948,-5.117392,1985.039465,242.232324,2:00,6.14194,2.52126,5.61993,-28.44391,10.21174,16.7778,2.28898,-0.86913,78.04048,-6.861857,-2.135691,0.447484,,,,,,,,,,,,-10.05827,6.06008,-2.09458,50,5.98834,10.43452,-124.50794,-4.41134,-15.63097,27.33574,-22.75641,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,a89cc390-4b32-11f1-a2a5-03e2572c6450,84.23185,,,8.13203,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:07:16.87,2026-05-08T19:07:16.8750592-04:00,2026-05-08T23:07:16.8750592Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,f29de570-c2be-4587-9eb8-f4833ae7e4d8,54.87892,-125.57454,13.66787,6.14314,-3.52342,-11.37821,-2.51362,11.04442,-7.81549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-08,19:07:33.13,1,8,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.97584,-1.714352,-4.791328,1951.478524,193.326363,12:30,6.10481,2.35816,5.59198,-23.39954,15.57521,3.3565,2.548,-1.84642,77.71034,-6.09626,-4.195865,0.449328,,,,,,,,,,,,-3.19433,8.82182,-1.9483,50,5.94229,10.26261,-124.17104,-4.47026,-4.92525,27.74899,-18.57201,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,b2588630-4b32-11f1-a2a5-03e2572c6450,83.88632,,,8.2655,,,,,,,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:07:33.13,2026-05-08T19:07:33.1357696-04:00,2026-05-08T23:07:33.1357696Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,296f53d5-5129-479f-bd8c-637dcbfe7845,54.90373,-125.2621,13.8745,6.1037,-3.74003,-9.28601,-2.35563,10.45626,-2.46262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-08,19:07:48.95,1,9,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,3,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.94292,0.837749,-1.00895,2088.610601,50.082579,7:45,5.89207,2.54306,5.40245,-62.28114,-7.99248,-11.83922,1.48716,0.61094,66.51005,-10.479687,-3.120073,0.530305,80.43231,-40.298478,-91.045427,,,,,4.75518,3.65079,-43.382455,0.025298,5.67807,-3.87118,-2.44436,50,5.92266,2.29036,-105.79886,-0.42914,6.31886,21.10912,-36.48213,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,bbc3dee0-4b32-11f1-a2a5-03e2572c6450,71.07688,1.93431,,6.43288,,,,3.49761,1.93431,-0.98557,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:07:48.95,2026-05-08T19:07:48.9541632-04:00,2026-05-08T23:07:48.9541632Z,GroundBall,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,965c3c49-2191-4630-bb73-4fb7d012e93e,55.09989,-106.81155,10.55456,5.90127,1.32106,-18.24106,-2.54697,1.98722,3.15943,,3.49763,-1.64506,,,,,,,,1.93497,-76.46086,,,,,,,,-0.98478,-90.1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-05-08,19:08:04.43,1,10,"Holder, Will",812702,Right,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,87.09098,-1.965357,-4.201839,1991.145964,225.976052,1:30,6.20596,2.30414,5.44337,-24.7684,13.66489,12.59469,2.29602,-0.58768,78.07806,-6.599346,-1.967398,0.446195,87.02611,35.943298,30.894828,4795.412943,88.7677,69.73521,64.96372,302.20593,212.93474,44.330556,4.972199,-7.79182,7.96441,-1.9412,50,6.01515,8.68914,-125.77794,-5.15655,-12.21692,30.56455,-19.68654,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-2,c4f11d20-4b32-11f1-a2a5-03e2572c6450,84.47518,84.78866,,9.01292,,,,1.33763,2.28782,0.52812,22b2c677-8b1f-4e53-91e6-d9e2f3595765,2026-05-08,23:08:04.43,2026-05-08T19:08:04.4322304-04:00,2026-05-08T23:08:04.4322304Z,FlyBall,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Edwards, Bennett",838125,Right,GEO_EAG,b3377e77-d952-43ff-b1c1-8b864aa02fc6,55.05412,-127.00017,15.28228,6.20562,-4.36931,-9.84327,-2.29843,9.17767,-6.10846,213.533714,1.34114,88.59841,-21.87582,4.96423,-0.61495,-0.03894,0.02527,-0.00293,0.0001,2.28929,74.88265,-18.7885,0.69733,0.24368,-0.17786,0.05541,-0.0081,0.00045,0.52948,53.03101,-2.65767,-0.26401,0.24786,-0.08379,0.01737,-0.00198,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
