PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-02,18:11:25.74,1,1,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.13371,-3.245097,-2.96036,2306.021436,191.205526,12:15,5.92323,1.37749,6.67499,-12.06343,16.76028,3.13925,1.9421,-1.07154,88.90862,-5.583448,-2.389768,0.386408,,,,,,,,,,,,-2.46764,10.00674,-1.18038,50,5.70033,7.1566,-140.90533,-8.29097,-4.96423,31.8272,-12.04325,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,3e73edf0-467c-11f1-8e77-917a05731ea6,97.54566,,,8.22509,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:11:25.74,2026-05-02T18:11:25.7482240-05:00,2026-05-02T23:11:25.7482240Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,4eb13a5f-65e4-4a49-8649-3fec5deddd0c,53.82387,-141.76642,15.9136,5.92023,-7.96514,-6.02162,-1.37582,7.29091,-2.48212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-02,18:11:40.03,1,2,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.72294,0.651728,-0.125186,2550.389874,48.574939,7:30,5.85228,1.51048,5.63512,-46.63951,-6.72284,-8.90953,2.57373,0.65122,77.47875,-7.842252,-1.719636,0.454725,,,,,,,,,,,,4.49347,-3.23217,-1.49402,50,5.87764,0.62689,-121.75941,-0.28474,6.78823,22.49596,-37.0568,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,4704c520-467c-11f1-8e77-917a05731ea6,82.89067,,,6.2442,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:11:40.03,2026-05-02T18:11:40.0326144-05:00,2026-05-02T23:11:40.0326144Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,5111d395-8523-4d69-80dd-51d23f9b0476,54.86761,-122.65544,11.24798,5.85959,1.19126,-18.5284,-1.5136,0.35651,3.39411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-02,18:11:53.27,1,3,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,97.38453,-1.554246,-2.053008,2418.02891,188.417586,12:15,5.93117,1.36813,6.5371,-12.49119,16.31993,2.27791,3.46336,-0.32594,88.77072,-3.979439,-1.639593,0.386324,,,,,,,,,,,,-1.7863,9.29548,-1.22672,50,5.81773,4.97624,-141.4835,-4.16348,-3.60965,33.20997,-13.39024,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,4edde510-467c-11f1-8e77-917a05731ea6,97.56695,,,8.61381,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:11:53.27,2026-05-02T18:11:53.2799488-05:00,2026-05-02T23:11:53.2799488Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,8e06b059-0e1b-411b-be9b-875cd86582d7,53.96219,-142.41049,16.60498,5.92873,-3.78971,-6.69512,-1.36702,5.077,-1.80482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-02,18:12:09.53,1,4,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.94318,-1.27901,0.629633,2584.658355,73.755,8:30,5.83963,1.33245,5.8486,-39.7925,0.12201,-4.0789,1.33481,1.57765,76.8521,-8.589323,-0.103714,0.454712,,,,,,,,,,,,2.27319,0.84169,-1.38126,50,5.71243,-1.17646,-121.88296,-4.0718,3.3964,25.4659,-30.91647,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,58964c50-467c-11f1-8e77-917a05731ea6,82.89293,,,7.09108,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:12:09.53,2026-05-02T18:12:09.5335424-05:00,2026-05-02T23:12:09.5335424Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,9f8d60c4-16d9-4c1a-b6d0-2ceacf6fc11b,54.65079,-122.85084,12.73295,5.84485,-2.89676,-15.45824,-1.33409,-1.30555,1.6982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-02,18:12:27.30,1,5,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.42545,-0.639319,-0.365267,2568.000635,35.018141,7:15,5.8335,1.4812,5.59307,-48.8631,-9.06768,-7.24512,1.1646,0.53638,77.52686,-9.51813,-1.662851,0.454034,,,,,,,,,,,,3.6137,-4.17921,-1.44487,50,5.74618,1.0716,-122.64463,-3.1221,5.46442,25.89133,-38.49355,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,632b30e0-467c-11f1-8e77-917a05731ea6,83.01686,,,6.89859,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:12:27.30,2026-05-02T18:12:27.3038848-05:00,2026-05-02T23:12:27.3038848Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,6adce76f-a06d-4aae-9c82-dc1aad4873c1,54.90992,-123.67681,12.94567,5.84006,-1.58752,-19.24678,-1.48324,0.85375,2.73221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-02,18:12:56.15,1,6,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,96.89603,-2.138283,-1.76809,2138.121465,207.936998,1:00,5.87646,1.34482,6.52801,-13.94761,14.74237,7.39654,2.75067,0.33865,89.67814,-4.798316,-0.424967,0.385511,93.91353,-21.896011,-14.663217,,,,,9.45959,8.85153,-12.633991,0.057346,-4.35689,8.54311,-1.22518,50,5.72159,4.05732,-140.97426,-5.66741,-8.87682,28.319,-14.76818,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,74556ac0-467c-11f1-8e77-917a05731ea6,97.77273,2.95241,,7.21789,,,,2.12397,2.95241,-0.20952,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:12:56.15,2026-05-02T18:12:56.1513472-05:00,2026-05-02T23:12:56.1513472Z,GroundBall,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,ccdb5da5-2172-4994-b977-ea0643ff5b9c,53.97443,-141.77039,14.1595,5.87508,-5.25223,-7.38409,-1.34275,4.30688,-4.43841,180,2.12136,123.92412,,,,,,,,2.95349,-51.48396,,,,,,,,-0.20884,-32.42587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2026-05-02,18:13:31.25,2,1,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.68838,-3.061172,-2.77637,2326.007933,196.784921,12:30,5.98424,1.21925,6.41925,-13.20682,15.90375,4.54205,2.06357,-0.95654,89.23569,-5.582881,-1.954405,0.388326,,,,,,,,,,,,-3.07114,9.35036,-1.02295,50,5.75905,6.61749,-140.37785,-7.88488,-6.18811,28.87019,-13.33382,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,89427900-467c-11f1-8e77-917a05731ea6,97.06383,,,7.45269,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:13:31.25,2026-05-02T18:13:31.2578560-05:00,2026-05-02T23:13:31.2578560Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,5609ba64-5254-429a-850b-14e7d7b96f73,54.08126,-141.21471,14.4351,5.98201,-7.49837,-6.66691,-1.21738,6.79687,-3.09406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-02,18:13:44.08,2,2,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.93372,-2.202534,-1.056982,2268.024809,206.556454,1:00,5.99788,1.29221,6.5198,-15.07544,14.31052,6.72756,2.71935,0.88291,88.4782,-5.074772,0.165121,0.390159,44.02195,-61.840017,-86.969602,,,,,3.67942,3.06853,-39.077909,0.049355,-3.82984,8.35871,-1.22151,50,5.83775,2.30543,-139.54705,-5.80253,-7.6126,29.04191,-15.55937,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,90e87b00-467c-11f1-8e77-917a05731ea6,96.60792,2.83937,,7.45552,,,,2.77594,2.83937,-0.80164,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:13:44.08,2026-05-02T18:13:44.0849408-05:00,2026-05-02T23:13:44.0849408Z,GroundBall,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,ba53dde9-56dd-4a08-b985-86837f5911d9,53.98178,-140.37327,14.52096,5.99653,-5.35987,-7.77969,-1.29017,2.522,-3.8063,,2.77581,1.62803,,,,,,,,2.84419,-57.52994,,,,,,,,-0.79906,-30.7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-05-02,18:14:19.19,3,1,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Griffith, Cole",807519,Right,GEO_PAN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.52869,-3.593916,-1.469672,2230.079406,207.426339,1:00,5.92339,1.32313,6.52271,-12.12737,15.79662,7.77268,1.60999,0.62215,90.89678,-5.919025,-0.058029,0.38033,,,,,,,,,,,,-4.46189,9.46804,-1.22407,50,5.66748,3.34707,-143.1174,-9.32186,-9.33454,30.34708,-12.36633,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,a5d6e8d0-467c-11f1-8e77-917a05731ea6,99.10463,,,7.63191,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:14:19.19,2026-05-02T18:14:19.1948288-05:00,2026-05-02T23:14:19.1948288Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,561189ec-4447-470b-87de-a87d1f8ad450,53.97826,-143.9585,15.17354,5.9211,-8.97912,-6.18317,-1.32042,3.60578,-4.66727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-02,18:14:34.66,3,2,"Brasch, Cody",1000189166,Right,LOU_CAJ,"Griffith, Cole",807519,Right,GEO_PAN,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.28796,-2.923999,-1.855685,2329.957275,193.020975,12:30,5.97082,1.25231,6.49753,-13.73898,14.9252,3.25729,2.13815,-0.18022,89.69576,-5.546122,-1.264639,0.385337,,,,,,,,,,,,-2.17965,8.83449,-1.12371,50,5.75957,4.44328,-141.3501,-7.61097,-4.44585,29.75219,-14.15424,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-2,af105c10-467c-11f1-8e77-917a05731ea6,97.8167,,,7.5922,,,,,,,85ee2cb8-011a-4858-9db1-013f34185e7d,2026-05-02,23:14:34.66,2026-05-02T18:14:34.6643456-05:00,2026-05-02T23:14:34.6643456Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,57b82c36-5720-45b6-848f-362d4b2187fa,54.00262,-142.1901,14.87609,5.96881,-7.21136,-7.07712,-1.25093,4.5688,-2.22293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
