PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:06:15.84,1,1,"Roberts, Cole",831239,Right,GEO_PAN,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.55729,-1.703226,-3.555883,2111.078389,200.506229,12:45,5.83659,1.02574,6.25231,-15.88686,19.98521,7.06548,2.93839,-1.66912,80.39349,-4.747777,-2.283198,0.431072,,,,,,,,,,,,-4.58032,11.13859,-0.76438,50,5.70156,7.61334,-127.04214,-4.18783,-7.52879,24.62366,-13.86531,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,3cb9db80-4192-11f1-b5c3-fb5c04ba4f2f,87.43893,,,7.1638,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:06:15.84,2026-04-26T13:06:15.8428672-04:00,2026-04-26T17:06:15.8428672Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,726edeca-f3fc-4bce-a589-ac6dd1849e74,54.24945,-127.86313,12.31183,5.83348,-3.72554,-6.93265,-1.02241,7.86436,-3.7644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:06:30.49,1,2,"Roberts, Cole",831239,Right,GEO_PAN,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.77709,-3.260802,-2.885786,1995.807325,207.266545,1:00,5.7601,1.17779,6.03769,-17.88332,18.8058,9.13426,1.24321,-0.73553,80.20454,-6.631041,-1.244273,0.435953,,,,,,,,,,,,-5.41843,10.83658,-0.9572,50,5.49509,5.98144,-125.87822,-7.6867,-8.78636,23.00651,-14.60176,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,45798ae0-4192-11f1-b5c3-fb5c04ba4f2f,86.45983,,,6.57255,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:06:30.49,2026-04-26T13:06:30.4965120-04:00,2026-04-26T17:06:30.4965120Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,acef1148-adf4-4049-9ad6-fae9d3029883,54.46537,-126.69171,11.50325,5.75776,-7.17039,-7.30088,-1.1742,6.29212,-4.39318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-26,13:06:47.47,1,3,"Roberts, Cole",831239,Right,GEO_PAN,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.38672,-0.620393,-1.043639,1931.165657,205.389365,12:45,5.73163,1.24074,6.13214,-16.88489,19.75883,8.89083,3.75097,1.01685,79.7949,-3.835298,0.558899,0.435684,,,,,,,,,,,,-4.83138,10.67611,-1.16539,50,5.6751,1.93678,-125.66746,-1.8108,-7.82067,22.54352,-14.89234,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,4f923a90-4192-11f1-b5c3-fb5c04ba4f2f,86.51334,,,6.59182,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:06:47.47,2026-04-26T13:06:47.4783744-04:00,2026-04-26T17:06:47.4783744Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,f9e2c448-1b11-48eb-8e9a-7d8f0ac6d896,54.37039,-126.44904,11.27176,5.72893,-1.29448,-7.44617,-1.23724,2.20792,-3.91033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:07:05.88,1,4,"Roberts, Cole",831239,Right,GEO_PAN,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.98609,-1.845539,-3.81139,2023.329633,206.651541,1:00,5.78268,1.12547,6.07753,-20.01548,17.44324,8.18154,2.40266,-1.72466,79.05514,-5.622801,-2.342702,0.440502,,,,,,,,,,,,-5.19918,9.82256,-0.83437,50,5.62872,7.98163,-124.69394,-4.59606,-8.23677,23.61359,-16.61269,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,5a930050-4192-11f1-b5c3-fb5c04ba4f2f,85.56703,,,6.93096,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:07:05.88,2026-04-26T13:07:05.8824704-04:00,2026-04-26T17:07:05.8824704Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,663b7491-cfc1-4954-9b1c-86567811b0d1,54.4245,-125.52902,11.80679,5.78087,-4.00856,-8.30635,-1.12178,8.27292,-4.11839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:07:41.68,2,1,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.30946,-2.541806,-1.930291,2099.009913,200.536608,12:45,5.79573,1.0729,6.01475,-17.5343,19.44269,6.88496,1.97692,-0.14225,79.8461,-5.85308,-0.692431,0.43766,,,,,,,,,,,,-4.03595,10.98611,-0.92522,50,5.58636,3.95683,-125.38735,-6.06427,-6.5001,22.5883,-14.48035,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,6fe58720-4192-11f1-b5c3-fb5c04ba4f2f,86.12256,,,6.46336,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:07:41.68,2026-04-26T13:07:41.6839680-04:00,2026-04-26T17:07:41.6839680Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,436cdc5a-b12d-4afa-b1b2-c49637d9812c,54.48913,-126.19347,11.29415,5.79356,-5.5475,-7.24018,-1.07057,4.1888,-3.25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,13:07:58.50,2,2,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.48481,-0.356368,-2.822376,1425.840225,239.399226,2:00,5.64642,1.2927,6.41619,-36.89596,8.0565,11.58922,2.24371,-0.33852,72.20502,-7.211549,-0.722717,0.482557,78.62748,44.725352,65.24358,5005.861171,,,,,69.65652,,,-6.75752,4.66225,-1.09607,50,5.60382,5.17753,-112.72947,-1.71118,-8.83176,17.48686,-26.08074,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,79f3fda0-4192-11f1-b5c3-fb5c04ba4f2f,78.10989,60.64312,,5.27979,,,,1.37417,2.52434,0.49979,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:07:58.50,2026-04-26T13:07:58.5025536-04:00,2026-04-26T17:07:58.5025536Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,ae23bd63-7391-4aaf-84b5-ca27c0408c0f,54.08907,-113.362,8.74343,5.64866,-0.7678,-13.04037,-1.28913,5.49699,-4.41588,,1.37417,34.31063,-15.10847,2.50628,-0.54975,0.15801,-0.0417,0.05152,-0.01739,2.52434,81.15183,-21.23402,1.69378,-0.35968,0.09608,-0.0495,0.06742,-0.01792,0.49979,74.40358,-2.42169,-1.60554,0.19534,-0.17248,-0.00196,-0.0016,0.01245,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-26,13:08:22.71,2,3,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.41887,-0.111495,-1.470932,1838.173816,192.01083,12:30,5.94955,1.06071,5.91393,-14.80241,19.76899,3.99622,4.6125,0.02817,82.32712,-2.938019,-0.753894,0.423185,,,,,,,,,,,,-2.40606,10.4528,-0.94491,50,5.93197,3.16856,-129.99167,-0.66218,-4.1588,24.65764,-14.10686,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,88570130-4192-11f1-b5c3-fb5c04ba4f2f,89.06856,,,7.09176,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:08:22.71,2026-04-26T13:08:22.7171840-04:00,2026-04-26T17:08:22.7171840Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,6a779fde-d219-4ef6-b42f-8fd65d25ec24,54.58809,-130.85908,12.32882,5.94653,-0.16593,-7.05343,-1.05895,3.31486,-2.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-26,13:08:40.05,2,4,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.942,-2.975748,-1.842766,2041.802998,202.422586,12:45,5.81796,1.02343,6.05213,-16.29154,19.95218,7.82213,1.70162,-0.03125,80.79786,-6.05122,-0.435278,0.433299,68.48073,39.146364,137.406548,5084.837998,-90.07378,46.9326,63.14039,188.64981,60.31296,151.188801,3.231353,-4.51559,11.35119,-0.88441,50,5.57728,3.76712,-126.35078,-7.03219,-7.41713,21.86579,-13.52906,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,92ac44b0-4192-11f1-b5c3-fb5c04ba4f2f,86.98943,47.09913,,6.14414,,,,1.3225,1.66456,-0.02926,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:08:40.05,2026-04-26T13:08:40.0569856-04:00,2026-04-26T17:08:40.0569856Z,FlyBall,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,8fe27e32-f766-4eba-a778-972d54173d66,54.45341,-127.11913,10.9329,5.81604,-6.55678,-6.76453,-1.02137,4.02776,-3.70857,312.194533,1.32192,-57.32172,-1.52158,1.74439,-0.60719,0.21772,-0.03178,-0.00128,0.00051,1.66467,63.40081,-24.91483,2.24285,-0.0674,-0.25741,0.135,-0.02807,0.00215,-0.02857,52.68957,-9.62549,0.64463,0.54653,-0.53394,0.20117,-0.03519,0.00239,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-04-26,13:09:17.77,2,5,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.04173,-1.474603,-2.031291,1338.568208,222.410154,1:30,5.65269,1.41277,6.40789,-33.12222,11.68776,9.42922,1.5354,0.3299,72.016,-7.664599,-0.321576,0.481791,77.45971,41.532227,-40.429344,3613.778206,76.79844,75.55374,-78.75266,253.68716,147.39216,-52.427759,4.773495,-5.52118,6.90768,-1.27159,50,5.53167,3.71139,-113.44484,-3.80985,-7.21842,20.12563,-23.14291,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,a931cd40-4192-11f1-b5c3-fb5c04ba4f2f,78.23399,81.5907,,6.02573,,,,3.52947,1.87631,-0.35351,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:09:17.77,2026-04-26T13:09:17.7787904-04:00,2026-04-26T17:09:17.7787904Z,FlyBall,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,a5116d3b-fc8b-4c82-b89e-c32baa28f9f9,54.09621,-114.16921,10.06282,5.6538,-2.97687,-11.57146,-1.40985,3.9712,-3.60921,,3.53437,64.63189,-16.76843,3.66322,-0.13818,-0.22613,0.07325,-0.00927,0.00043,1.87606,75.31711,-20.01185,1.10619,0.12213,-0.16621,0.06099,-0.0099,0.00059,-0.35497,-55.11642,4.50107,-0.24355,-0.2431,0.13287,-0.03433,0.00445,-0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-26,13:10:15.73,2,6,"Roberts, Cole",831239,Right,GEO_PAN,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,1,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.64564,0.331735,-2.781574,2314.43377,183.433345,12:00,5.57927,1.57392,5.8739,-31.676,13.76694,0.73689,3.24811,-0.9504,71.72143,-5.58569,-2.649642,0.485182,,,,,,,,,,,,-1.18303,7.39189,-1.34907,50,5.58788,5.51413,-114.0624,-0.26349,-1.55214,21.78462,-22.47582,GEO_PAN,OLD_MON,GeorgiaState,D1,SBELT,20260426-GeorgiaState-1,cbbfc790-4192-11f1-b5c3-fb5c04ba4f2f,77.68722,,,6.92421,,,,,,,3fc0ad5c-6e3c-4ddf-9f89-936ee607d6b4,2026-04-26,17:10:15.73,2026-04-26T13:10:15.7302784-04:00,2026-04-26T17:10:15.7302784Z,,v3,471304,3090,,"Griffith, Cole",807519,Right,GEO_PAN,654b9a45-4f8b-46a3-8bdb-816759e462ed,54.62653,-114.94262,10.89231,5.58018,0.64465,-11.23791,-1.57314,5.57684,-0.77607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
