PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,04/10/26,05:30.9,1,1,"Atkins, Hunter",838173,Left,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.13051,-0.298756,3.985939,2002.758898,112.384054,9:45,5.50617,-4.13996,5.72835,-29.22565,9.44241,-19.41344,2.79177,-2.03923,77.37558,-5.760214,0.520698,0.447556,,,,,,,,,,,,11.50516,5.2537,3.81991,50,5.46322,-7.92109,-124.68964,-1.60996,17.74975,29.76169,-24.0688,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,64325ef0-3529-11f1-9a7a-a580d6aab7bc,84.21832,,,8.75492,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,05:30.9,2026-04-10T18:05:30.9160000-04:00,2026-04-10T22:05:30.9160000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,0a024c9f-814b-4f70-8bcf-9543a201c6bd,54.77671,-125.8246,14.88085,5.50711,-0.6921,-12.0344,4.13489,-8.59798,8.87488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,04/10/26,05:47.6,1,2,"Atkins, Hunter",838173,Left,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.66307,-1.229701,4.933288,2019.804143,122.61404,10:00,5.40878,-4.05985,6.12024,-25.23927,13.20599,-18.4491,2.16417,-1.02484,77.28798,-5.997969,1.62291,0.446265,,,,,,,,,,,,11.12119,7.60741,3.69055,50,5.30111,-9.96755,-123.91042,-3.41686,17.05354,27.92543,-20.50866,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,6e266fa0-3529-11f1-9a7a-a580d6aab7bc,84.46199,,,8.37509,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,05:47.6,2026-04-10T18:05:47.5900000-04:00,2026-04-10T22:05:47.5900000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,d17ac5bb-6b5b-40ba-8e74-ca66e72786a4,54.38196,-124.89407,13.96272,5.40874,-2.69446,-10.25433,4.05223,-10.56825,8.52677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,04/10/26,06:11.7,1,3,"Atkins, Hunter",838173,Left,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.56321,2.123276,1.972383,2140.985078,262.537196,2:45,5.49347,-4.08771,5.50828,-47.93672,3.46642,13.67513,3.48661,-1.10273,68.01549,-6.67701,4.404281,0.51602,,,,,,,,,,,,-6.27992,1.64209,3.90611,50,5.64705,-4.23605,-108.07932,2.50577,-7.37516,20.09129,-30.24559,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,7c913b60-3529-11f1-9a7a-a580d6aab7bc,73.04457,,,6.54772,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,06:11.7,2026-04-10T18:06:11.7090000-04:00,2026-04-10T22:06:11.7090000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,33f40fb3-0d97-41e9-a0c9-cf91b3246151,54.99339,-109.00361,10.04564,5.49977,3.8972,-15.1228,4.09318,-3.89676,-3.68758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,04/10/26,06:30.7,1,4,"Atkins, Hunter",838173,Left,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,2,1,Curveball,Slider,InPlay,Undefined,Popup,Out,1,0,,79.4254,-0.114856,4.089685,2120.373703,218.88516,1:15,5.36234,-4.21797,5.80921,-38.61959,6.37847,3.91949,2.03695,-0.0815,72.37521,-7.243356,4.788967,0.482801,80.05288,50.881871,-6.747731,5052.995226,107.60237,109.42982,-22.84071,228.33673,108.31707,-15.11787,5.491337,-0.75862,3.69973,3.87939,50,5.32983,-8.36945,-115.01705,-1.42955,-1.00581,23.37591,-27.26887,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,87e88590-3529-11f1-9a7a-a580d6aab7bc,78.0703,113.85366,,7.05019,,,,2.03636,2.17978,0.14706,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,06:30.7,2026-04-10T18:06:30.7350000-04:00,2026-04-10T22:06:30.7350000Z,FlyBall,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,e8464ae9-4e0c-41dd-9dc6-150c8ae4888a,54.69337,-115.967,11.68795,5.36541,-0.3214,-13.63444,4.21868,-8.32857,-0.5029,164.53223,2.03897,73.50332,-17.4299,4.14024,-0.43936,-0.06882,0.03115,-0.00405,0.00019,2.17806,91.11772,-21.7272,1.77427,-0.2652,0.00771,0.01009,-0.00217,0.00013,0.14673,-8.70182,-2.41996,0.89465,-0.14146,-0.00882,0.0082,-0.00131,7.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,04/10/26,07:09.4,2,1,"Atkins, Hunter",838173,Left,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.96634,-1.938026,5.640262,1994.944064,109.976354,9:45,5.4509,-4.16912,5.99696,-29.09037,8.10567,-18.88745,1.22128,-0.49921,79.38701,-7.340274,2.262739,0.438955,,,,,,,,,,,,11.42197,5.06618,3.7342,50,5.28129,-11.67189,-125.74328,-5.21816,18.23262,26.20914,-24.087,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,9ee0cd20-3529-11f1-9a7a-a580d6aab7bc,85.86864,,,7.57934,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,07:09.4,2026-04-10T18:07:09.3640000-04:00,2026-04-10T22:07:09.3640000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,285bfbe8-fdcc-475b-aca2-fa35e4bff224,54.50778,-126.67937,13.10457,5.4523,-4.35787,-12.0435,4.1627,-12.32309,9.11631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,04/10/26,07:28.6,2,2,"Atkins, Hunter",838173,Left,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.05827,-2.197167,4.683121,1987.064506,111.843345,9:45,5.38032,-4.20595,6.14505,-29.20671,8.57705,-18.1934,0.90816,-1.3846,78.45459,-7.641813,1.412183,0.442409,,,,,,,,,,,,10.74906,5.47032,3.85738,50,5.1973,-9.47883,-124.55878,-5.7117,16.79361,26.31443,-23.62762,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,aa55d880-3529-11f1-9a7a-a580d6aab7bc,85.19817,,,7.60368,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,07:28.6,2026-04-10T18:07:28.5560000-04:00,2026-04-10T22:07:28.5560000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,8fa0be79-63e6-4ac4-b9f0-ffd00d65a83e,54.35749,-125.47597,13.15721,5.38203,-4.88815,-11.81381,4.19797,-10.06418,8.3968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,04/10/26,07:49.1,2,3,"Atkins, Hunter",838173,Left,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.30338,-1.46636,5.325328,2070.437381,115.219763,9:45,5.34101,-4.19262,6.21408,-28.16348,10.12796,-18.79458,1.63456,-0.82975,77.80864,-6.73769,1.948937,0.445371,,,,,,,,,,,,11.20863,6.05453,3.80102,50,5.21652,-10.76743,-123.43719,-4.02773,17.24954,25.15443,-22.8564,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,b6aa2050-3529-11f1-9a7a-a580d6aab7bc,84.63152,,,7.49474,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,07:49.1,2026-04-10T18:07:49.1450000-04:00,2026-04-10T22:07:49.1450000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,b139a71e-39ad-43dc-aa48-8e63322dc053,54.28853,-124.30805,12.57721,5.34226,-3.23643,-11.4282,4.18413,-11.36462,8.62477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,04/10/26,08:06.7,2,4,"Atkins, Hunter",838173,Left,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,79.571,0.118388,5.253913,1920.086338,111.136858,9:45,5.28382,-4.31068,6.49714,-36.7873,6.81426,-13.85217,2.32734,-0.62845,72.50187,-6.771745,2.753441,0.47525,103.95584,21.726211,-13.3813,2110.689405,106.95641,41.85966,-25.69617,404.92951,393.98025,-14.81077,4.531017,8.82788,3.95252,3.94741,50,5.2761,-10.11826,-115.22424,-0.77596,11.79825,22.58775,-26.89158,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,c11a65e0-3529-11f1-9a7a-a580d6aab7bc,79.3107,63.39416,,7.06912,,,,2.18767,2.46631,0.64331,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,08:06.7,2026-04-10T18:08:06.7130000-04:00,2026-04-10T22:08:06.7130000Z,LineDrive,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,32c5afae-92e8-477f-abcb-8c29bc36cd3c,54.00601,-116.00689,11.29388,5.28684,0.15581,-13.44579,4.30509,-10.52706,5.89912,169.263254,2.18779,137.78981,-25.15812,5.88711,-1.15876,0.2094,-0.03451,0.00409,-0.00022,2.46678,56.42702,-12.88237,-0.40601,0.2783,-0.10269,0.02671,-0.00361,0.00019,0.64376,-32.78956,3.47974,-0.50791,0.12495,-0.04464,0.01128,-0.0015,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,04/10/26,08:57.2,3,1,"Atkins, Hunter",838173,Left,GEO_PAN,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.52129,-1.301177,5.697293,1963.328436,113.532469,9:45,5.43416,-3.96831,6.04724,-28.73919,8.64339,-17.07769,1.82836,-0.09924,79.14232,-6.645646,2.642928,0.440054,,,,,,,,,,,,10.44552,5.15555,3.53253,50,5.31667,-11.81799,-125.1615,-3.77363,16.57456,25.18949,-23.99342,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,df223bd0-3529-11f1-9a7a-a580d6aab7bc,85.65409,,,7.37897,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,08:57.2,2026-04-10T18:08:57.1600000-04:00,2026-04-10T22:08:57.1600000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,856610a2-f178-4283-b4cd-1e75b5118871,54.45734,-126.05537,12.59475,5.43547,-2.9222,-11.99671,3.96234,-12.40615,8.28728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,04/10/26,09:15.5,3,2,"Atkins, Hunter",838173,Left,GEO_PAN,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.73032,0.63688,3.192035,2132.105675,266.215881,2:45,5.43249,-4.07398,5.64324,-49.782,2.59973,13.48469,1.87907,0.03063,67.57556,-8.474002,5.594132,0.520908,,,,,,,,,,,,-5.94122,1.55827,3.79349,50,5.45472,-6.43356,-106.88376,-0.30807,-6.80949,20.00908,-30.38803,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260410-GeorgiaState-1,ea1f3100-3529-11f1-9a7a-a580d6aab7bc,72.35906,,,6.15476,,,,,,,ab42a328-9810-40ae-8ad3-8b16931bf8b2,4/10/2026,09:15.5,2026-04-10T18:09:15.4970000-04:00,2026-04-10T22:09:15.4970000Z,,v3,471304,471327,c051cf6413604195bc344b49054b16ea,"Carlson, Hunter",830762,Right,GEO_PAN,d648a663-26a6-43f9-be00-dfee0a453450,54.86072,-107.78987,10.00454,5.43751,1.06804,-15.19402,4.07785,-6.12519,-3.40475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
