PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-16,13:07:12.02,1,1,"Roberts, Cole",831239,Right,GEO_PAN,"Evans, Charlie",813602,Right,APP_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,86.0663,-0.956549,-1.311746,2003.81191,188.186384,12:15,5.88254,0.97742,6.15662,-18.09875,19.29674,2.60244,3.49021,-0.01788,78.51097,-4.420664,-0.842529,0.44013,95.70455,29.530673,9.457093,3020.705892,107.1626,58.5851,24.8213,364.7117,358.51692,20.422011,5.037684,-1.71847,10.61292,-0.87903,50,5.80041,2.76004,-125.01752,-2.56743,-2.7133,25.75559,-15.41705,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,ae924500-5149-11f1-8897-03ea6a86acbd,85.63932,80.70185,,7.55533,,,,-0.0026,3.37491,0.03316,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:07:12.02,2026-05-16T13:07:12.0230400-04:00,2026-05-16T17:07:12.0230400Z,FlyBall,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,65f43cfa-d9a2-469f-bff2-f5e47efea2ff,54.34464,-125.90941,12.8778,5.88008,-2.03356,-7.70852,-0.97623,2.85399,-1.35665,214.085791,0.00071,120.40418,-22.80631,4.69086,-0.6801,0.04622,-0.0002,0.00036,-6E-05,3.37532,69.17029,-17.02047,0.68196,0.1287,-0.12417,0.04184,-0.00623,0.00034,0.03264,20.07898,4.38347,-1.61242,0.36969,-0.06811,0.01165,-0.00146,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-05-16,13:08:08.35,2,1,"Roberts, Cole",831239,Right,GEO_PAN,"Luft, Riley",804424,Right,APP_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02323,-4.027901,-3.197688,2027.674539,194.298081,12:30,5.93515,1.03205,6.22509,-16.3619,19.10072,4.60221,0.84304,-1.5381,81.45796,-7.12037,-2.368395,0.428605,,,,,,,,,,,,-3.16433,11.22123,-0.7948,50,5.62442,6.94429,-127.56744,-9.43583,-5.27382,23.43869,-13.47217,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,d01fe650-5149-11f1-8897-03ea6a86acbd,87.94222,,,6.56527,,,,,,,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:08:08.35,2026-05-16T13:08:08.3552768-04:00,2026-05-16T17:08:08.3552768Z,,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,8dc38518-af9c-4a10-9875-64f633ed580a,54.27733,-128.35093,11.71934,5.93231,-8.98549,-6.73609,-1.02988,7.12058,-2.63691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-16,13:08:40.65,2,2,"Roberts, Cole",831239,Right,GEO_PAN,"Luft, Riley",804424,Right,APP_MOU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.07522,-2.134706,-2.00515,1964.460477,188.321614,12:15,5.9125,0.9432,6.27723,-15.84867,20.61218,2.83917,2.62184,-0.66935,79.40585,-5.190281,-1.492378,0.434595,72.16323,30.53817,156.646831,3510.023417,-103.60991,33.73217,36.94572,188.02213,56.76331,163.998307,2.643532,-2.07162,11.73024,-0.79639,50,5.74689,4.3177,-126.41372,-5.11396,-3.33806,26.7888,-13.27273,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,e3602ef0-5149-11f1-8897-03ea6a86acbd,86.73003,34.11839,,7.66937,,,,2.0852,2.69717,0.66764,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:08:40.65,2026-05-16T13:08:40.6579200-04:00,2026-05-16T17:08:40.6579200Z,FlyBall,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,5a36c993-1d5e-436e-8211-62ba59531f5c,54.22581,-127.30608,13.3944,5.90988,-4.67183,-6.63637,-0.94207,4.42889,-1.66903,315.521664,2.08517,-83.69045,4.4067,0.4227,0.04132,-0.1173,0.09581,-0.03141,0.00359,2.69732,53.77111,-25.58142,2.53635,-0.3251,-0.03491,0.04238,-0.00952,0.00067,0.66776,36.13014,-8.34766,1.15284,-0.21088,0.05775,-0.03993,0.01546,-0.002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-05-16,13:09:00.41,2,3,"Roberts, Cole",831239,Right,GEO_PAN,"Luft, Riley",804424,Right,APP_MOU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,75.21096,-0.269295,-3.331426,1317.668285,251.058585,2:15,5.58186,1.54463,5.78902,-43.10089,6.64563,14.68505,1.73916,-0.33448,69.02417,-8.209739,-0.702697,0.507637,71.63787,-8.940882,-40.36966,,,,,15.36811,15.18775,-31.989614,0.12611,-8.5054,3.90071,-1.27904,50,5.53351,5.83378,-109.10542,-1.79413,-10.22952,19.59649,-27.48264,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,ef302b90-5149-11f1-8897-03ea6a86acbd,74.25083,2.17594,,6.18679,,,,3.26454,2.17594,0.27447,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:09:00.41,2026-05-16T13:09:00.4195840-04:00,2026-05-16T17:09:00.4195840Z,GroundBall,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,72cf73a0-cf4e-4bf7-8eda-714f24db3271,54.71508,-109.94903,9.79825,5.58528,-0.61102,-13.74132,-1.53966,6.27415,-5.11476,130.622803,3.26475,79.05552,-12.5948,,,,,,,2.17589,-16.32497,-7.36327,,,,,,,0.27443,-67.22392,3.88278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-05-16,13:12:36.41,3,1,"Roberts, Cole",831239,Right,GEO_PAN,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.59255,0.368337,-2.441811,1256.994896,215.939319,1:15,5.56007,1.44771,5.77878,-39.75187,10.89186,6.69426,2.59047,-0.26797,68.19581,-6.999953,-1.243834,0.512194,,,,,,,,,,,,-4.11457,5.9437,-1.25003,50,5.56663,4.37378,-108.21271,-0.45869,-4.86114,19.52434,-25.15188,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,6fecdda0-514a-11f1-8897-03ea6a86acbd,73.5902,,,6.39674,,,,,,,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:12:36.41,2026-05-16T13:12:36.4110848-04:00,2026-05-16T17:12:36.4110848Z,,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,916e3bcd-73f0-403c-b0c7-4ff8059dc6f9,54.72222,-109.06139,9.76217,5.56281,0.63461,-12.57594,-1.44474,4.58509,-2.43057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-16,13:12:55.29,3,2,"Roberts, Cole",831239,Right,GEO_PAN,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.76662,-2.848811,-1.364444,2252.881866,186.23482,12:15,6.0493,0.77111,5.8701,-13.98469,20.80352,2.1491,2.23464,-0.31752,82.01822,-5.53183,-0.979057,0.424509,68.38465,43.654824,128.641418,4764.407718,,,,,44.85254,,,-1.48705,11.80233,-0.66185,50,5.81033,3.01113,-130.22298,-6.86177,-2.55079,27.62049,-11.92917,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,7b23ce90-514a-11f1-8897-03ea6a86acbd,88.79057,37.44789,,7.74841,,,,0.96079,2.19392,0.28779,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:12:55.29,2026-05-16T13:12:55.2901632-04:00,2026-05-16T17:12:55.2901632Z,,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,30277af3-9425-4f38-afad-5c52f67ec08a,54.63215,-131.20179,13.81024,6.04601,-6.43903,-5.96458,-0.77016,3.10152,-1.27539,315.249893,0.96079,-45.31347,-2.00428,1.45381,-1.0276,2.62953,-5.3674,5.72785,-2.40078,2.19392,69.23654,-25.52475,2.77589,-0.90188,1.39803,-2.72977,2.8773,-1.19368,0.28779,56.67937,-9.86865,1.75152,-0.66222,1.28763,-2.59467,2.74338,-1.13983,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-05-16,13:13:22.38,3,3,"Roberts, Cole",831239,Right,GEO_PAN,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7019,-0.164551,-2.250438,2210.572898,196.342142,12:30,6.11572,0.80618,5.97194,-13.20217,19.72418,5.49831,4.86285,-0.82319,84.13608,-2.705028,-1.263512,0.412994,,,,,,,,,,,,-3.39323,10.45355,-0.63081,50,6.09512,4.99744,-133.2265,-0.73499,-6.14005,26.80244,-13.25831,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,8b4969b0-514a-11f1-8897-03ea6a86acbd,91.26642,,,7.56581,,,,,,,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:13:22.38,2026-05-16T13:13:22.3836160-04:00,2026-05-16T17:13:22.3836160Z,,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,da96fe0c-4c85-4d3f-8334-d8ed0c52f640,54.52994,-134.13474,13.40122,6.11241,-0.28572,-6.62915,-0.80368,5.20551,-3.07002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-16,13:13:41.54,3,4,"Roberts, Cole",831239,Right,GEO_PAN,"Puig, Ethan",813911,Right,APP_MOU,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.71984,0.637662,-2.099046,2306.118343,134.056599,10:30,5.63448,1.66935,5.71334,-37.11561,7.435,-6.53378,3.13603,-0.83161,73.56471,-6.163034,-3.26635,0.480395,84.07807,28.571215,0.520153,3321.14426,109.82025,54.21168,6.28495,297.54633,294.14212,7.516096,4.560814,2.89004,3.97996,-1.48929,50,5.66445,4.43567,-114.51143,0.10605,3.91377,17.20308,-26.78428,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,96bd3c90-514a-11f1-8897-03ea6a86acbd,78.4614,66.0621,,5.15513,,,,1.3556,3.17512,0.8234,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:13:41.54,2026-05-16T13:13:41.5458816-04:00,2026-05-16T17:13:41.5458816Z,FlyBall,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,ed00cd0f-c8ea-4060-8c50-25e68f47219f,54.79196,-115.22908,8.60154,5.63672,1.22339,-13.39214,-1.67092,4.2724,1.95688,197.220299,1.35574,108.29027,-20.70293,4.74127,-0.9947,0.21757,-0.04352,0.00567,-0.00032,3.17613,58.95132,-14.36902,-0.00453,0.35491,-0.19591,0.0549,-0.00752,0.0004,0.8233,0.9858,3.78931,-1.00128,0.23719,-0.05373,0.01012,-0.00121,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-05-16,13:14:24.51,4,1,"Roberts, Cole",831239,Right,GEO_PAN,"Miller, Kameron",840990,Right,APP_MOU,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.63729,-0.031145,-2.262526,2322.891307,155.86262,11:15,5.60799,1.60478,5.82891,-35.77163,8.92882,-3.46075,2.59805,-0.78806,73.13237,-6.61509,-2.882296,0.481202,93.05774,34.83767,2.296487,4076.360262,109.56079,75.88684,9.8168,314.30057,312.56454,10.877389,5.635578,1.24354,4.93705,-1.4177,50,5.58398,4.64227,-114.33076,-1.15775,1.66883,18.33708,-25.54852,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,b05bc4f0-514a-11f1-8897-03ea6a86acbd,78.32978,104.29499,,5.50492,,,,1.23363,2.6335,0.80689,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:14:24.51,2026-05-16T13:14:24.5145600-04:00,2026-05-16T17:14:24.5145600Z,FlyBall,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Griffith, Cole",807519,Right,GEO_PAN,9b4eb389-c199-4185-8742-861436464dfa,54.67552,-115.07821,9.16854,5.60995,-0.11635,-12.77426,-1.60553,4.57424,0.83442,192.291468,1.23855,111.8377,-26.22825,5.96768,-0.96203,0.10794,-0.00961,0.00084,-4E-05,2.63248,77.98538,-15.98688,0.37881,0.09198,-0.07417,0.02234,-0.00299,0.00015,0.8062,4.50306,2.94518,-0.77166,0.14419,-0.01898,0.00185,-0.00014,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-05-16,13:17:21.00,1,1,"Barozzino, Conner",840985,Right,APP_MOU,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Bottom,0,0,0,ChangeUp,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_PAN,APP_MOU,GeorgiaState,D1,SBELT,20260516-GeorgiaState-1,18851d10-514b-11f1-8897-03ea6a86acbd,,,,,,,,,,,5b217051-59cb-439d-9bde-830d6e65a0de,2026-05-16,17:17:21.00,2026-05-16T13:17:21.0000000-04:00,2026-05-16T17:17:21.0000000Z,,v3,471304,471230,fae0b51743c54bfc8e282feb36b38024,"Denton, Colton",835660,Right,APP_MOU,c4d68a4c-1835-47f4-bd42-4ea72a6594aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
